time,cpi_mom,cpi_yoy,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,interest_rate,month,year,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std,cpi_mom_diff
2006-12-01,100.5,106.57,100.73333333333333,106.63999999999999,4.61015772749913,4.668802046232865,-0.3200000000000074,4.468848143136947,12,2006,100.53333333333335,0.6257117159804597,107.41333333333331,0.664808015122044,100.5
2007-01-01,101.1,106.46,101.26666666666665,106.53333333333332,4.616110126026426,4.667769327744611,-0.10999999999999943,5.23679621531759,1,2007,100.52499999999999,0.6166257152660195,107.21666666666665,0.550013773932961,101.1
2007-02-01,102.2,106.57,101.03333333333332,106.63999999999999,4.626931677769604,4.668802046232865,0.10999999999999943,4.540287882883098,2,2007,100.53333333333335,0.6400757530925798,107.065,0.436213042196872,102.2
2007-03-01,99.8,106.89,100.83333333333333,106.89,4.603168183317418,4.671800268285854,0.3200000000000074,5.77496720250877,3,2007,100.55833333333334,0.6006940430313945,106.99416666666667,0.3823244298992727,99.8
2007-04-01,100.5,107.21,100.36666666666667,107.17333333333333,4.61015772749913,4.674789527868148,0.3199999999999932,4.608373353831881,4,2007,100.58333333333333,0.5905826604193145,106.98583333333333,0.3758495427544282,100.5
2007-05-01,100.8,107.42,100.73333333333333,107.52999999999999,4.613138355637268,4.676746384477314,0.21000000000000796,4.838969241897162,5,2007,100.60000000000001,0.5939084716750166,106.98583333333333,0.3758495427544282,100.8
2007-06-01,100.9,107.96,100.86666666666667,107.95666666666666,4.6141299273595635,4.681760788149804,0.539999999999992,5.406758608684835,6,2007,100.64166666666667,0.5961365513696357,107.03083333333332,0.45627858980669456,100.9
2007-07-01,100.9,108.49,100.8,108.38666666666666,4.6141299273595635,4.686658002834359,0.5300000000000011,4.3845678417830225,7,2007,100.68333333333332,0.5951826814033928,107.11999999999999,0.6158807440648923,100.9
2007-08-01,100.6,108.71,100.66666666666667,108.71,4.611152257665639,4.6886837862159085,0.21999999999999886,5.113729967302064,8,2007,100.7,0.5892985043870733,107.2275,0.7670382827952997,100.6
2007-09-01,100.5,108.93,100.60000000000001,109.03666666666668,4.61015772749913,4.690705474094354,0.22000000000001307,5.653571377141214,9,2007,100.71666666666668,0.5797073451843834,107.3975,0.8999810604072446,100.5
2007-10-01,100.7,109.47,100.8,109.50666666666667,4.612145799724517,4.695650539116466,0.539999999999992,4.196258382719386,10,2007,100.75833333333334,0.5567083998148191,107.63083333333333,1.0454356058894536,100.7
2007-11-01,101.2,110.12,101.60000000000001,110.78000000000002,4.617098756853365,4.701570680274407,0.6500000000000057,5.092316929266152,11,2007,100.80833333333332,0.5680242205678079,107.89999999999999,1.2358287613069932,101.2
2007-12-01,102.9,112.75,102.16000000000001,112.35000000000001,4.633757642840004,4.725172978382788,2.6299999999999955,5.129941397124211,12,2007,101.00833333333333,0.8173775508333212,108.415,1.7931916695203607,102.9
2008-01-01,102.38,114.18,102.94666666666667,114.21,4.628691381029437,4.737776150536114,1.4300000000000068,5.390911435888655,1,2008,101.11500000000001,0.9088304172247857,109.05833333333334,2.331943525487159,102.38
2008-02-01,103.56,115.7,102.97666666666667,116.42666666666666,4.640151154883337,4.751000634199631,1.519999999999996,4.381524644560959,2,2008,101.22833333333334,1.1173168618155094,109.81916666666667,2.872931535219993,103.56
2008-03-01,102.99,119.4,102.91666666666667,118.83999999999999,4.63463189613771,4.782479200958502,3.700000000000003,4.339771693457862,3,2008,101.49416666666667,1.1260426145121438,110.86166666666666,3.825295789712062,102.99
2008-04-01,102.2,121.42,103.03333333333335,121.99333333333334,4.626931677769604,4.799255609702288,2.019999999999996,5.260970782808449,4,2008,101.63583333333334,1.096137502434273,112.04583333333333,4.693113830309619,102.2
2008-05-01,103.91,125.16,102.75,124.42666666666666,4.643525139864555,4.829592918800682,3.739999999999995,5.148492336616593,5,2008,101.895,1.2389108119636796,113.52416666666669,5.773260396523062,103.91
