time,cpi,oil_price,gold_price,interest_rate,cpi_smoothed,cpi_log,month,year,cpi_diff,cpi_rolling_mean,cpi_rolling_std
2001-11-01,100.2,19.44,274.9,19.75,100.39999999999999,4.607168188650764,11,2001,0.20000000000000284,99.99166666666666,0.3528026317499973
2001-12-01,101.0,19.84,279.0,19.1,100.76666666666665,4.61512051684126,12,2001,0.7999999999999972,100.06666666666666,0.4579268169664237
2002-01-01,101.1,19.48,282.9,19.05,101.43333333333334,4.616110126026426,1,2002,0.09999999999999432,100.13333333333333,0.5449492609130945
2002-02-01,102.2,21.74,297.1,18.73,100.83333333333333,4.626931677769604,2,2002,1.1000000000000085,100.28333333333332,0.8088525355356568
2002-03-01,99.2,26.31,303.7,18.56,100.46666666666665,4.597138014290827,3,2002,-3.0,100.27499999999999,0.8203380677833875
2002-04-01,100.0,27.29,309.2,18.33,99.83333333333333,4.605170185988092,4,2002,0.7999999999999972,100.31666666666666,0.7895146188218242
2002-05-01,100.3,25.31,327.5,18.19,100.13333333333333,4.60816569496789,5,2002,0.29999999999999716,100.35833333333333,0.7727852028196501
2002-06-01,100.1,26.86,313.9,18.61,100.10000000000001,4.6061696863211745,6,2002,-0.20000000000000284,100.36666666666667,0.7691002220225853
2002-07-01,99.9,27.02,305.2,19.7,100.03333333333332,4.604169685654508,7,2002,-0.19999999999998863,100.375,0.7629190353802245
2002-08-01,100.1,28.98,313.9,18.02,100.06666666666668,4.6061696863211745,8,2002,0.19999999999998863,100.38333333333334,0.7589865651384381
2002-09-01,100.2,30.45,325.2,19.26,100.19999999999999,4.607168188650764,9,2002,0.10000000000000853,100.35833333333335,0.7597348022152243
2002-10-01,100.3,27.22,318.4,21.92,100.26666666666667,4.60816569496789,10,2002,0.09999999999999432,100.38333333333334,0.7517655985422276
2002-11-01,100.3,26.89,316.8,24.52,100.3,4.60816569496789,11,2002,0.0,100.39166666666667,0.7501010032999252
2002-12-01,100.3,31.2,348.2,25.55,100.5,4.60816569496789,12,2002,0.0,100.33333333333333,0.7253003557565937
2003-01-01,100.9,33.51,369.1,25.75,101.13333333333333,4.6141299273595635,1,2003,0.6000000000000085,100.31666666666668,0.708177344678003
2003-02-01,102.2,36.6,350.3,25.676,100.83333333333333,4.626931677769604,2,2003,1.2999999999999972,100.31666666666668,0.708177344678003
2003-03-01,99.4,31.04,336.9,25.602,100.53333333333335,4.599152113662528,3,2003,-2.799999999999997,100.33333333333333,0.6813533769215946
2003-04-01,100.0,25.8,339.4,25.528,99.76666666666667,4.605170185988092,4,2003,0.5999999999999943,100.33333333333333,0.6813533769215946
2003-05-01,99.9,29.56,365.6,25.454,99.86666666666667,4.604169685654508,5,2003,-0.09999999999999432,100.30000000000001,0.692820323027575
2003-06-01,99.7,30.19,346.3,25.38,99.76666666666667,4.602165676967792,6,2003,-0.20000000000000284,100.26666666666667,0.7126561498217908
2003-07-01,99.7,30.54,355.8,23.79,99.76666666666667,4.602165676967792,7,2003,0.0,100.25,0.7242551032236394
2003-08-01,99.9,31.57,376.8,22.16,99.90000000000002,4.604169685654508,8,2003,0.20000000000000284,100.23333333333333,0.730296743340241
2003-09-01,100.1,29.2,386.1,19.4,99.93333333333334,4.6061696863211745,9,2003,0.19999999999998863,100.22499999999998,0.7312815649753215
2003-10-01,99.8,29.11,384.6,18.45,100.16666666666667,4.603168183317418,10,2003,-0.29999999999999716,100.18333333333334,0.740802186003729
2003-11-01,100.6,30.41,396.8,17.77,100.39999999999999,4.611152257665639,11,2003,0.7999999999999972,100.20833333333333,0.750101003299917
2003-12-01,100.8,32.52,416.1,16.11,100.83333333333333,4.613138355637268,12,2003,0.20000000000000284,100.25,0.7692971999287488
2004-01-01,101.1,33.05,402.9,16.22,101.63333333333333,4.616110126026426,1,2004,0.29999999999999716,100.26666666666665,0.7866307130972645
2004-02-01,103.0,36.16,396.8,16.2,101.63333333333333,4.634728988229636,2,2004,1.9000000000000057,100.33333333333333,0.9763879010584748
2004-03-01,100.8,35.76,428.3,15.83,101.43333333333334,4.613138355637268,3,2004,-2.200000000000003,100.45,0.9375984796761174
2004-04-01,100.5,37.38,387.5,15.63,100.73333333333333,4.61015772749913,4,2004,-0.29999999999999716,100.49166666666667,0.9268307027258083
2004-05-01,100.9,39.88,394.9,15.9,100.73333333333333,4.6141299273595635,5,2004,0.4000000000000057,100.57499999999999,0.9136589775582608
2004-06-01,100.8,37.05,393.0,15.76,100.73333333333333,4.613138355637268,6,2004,-0.10000000000000853,100.66666666666667,0.8721273190344149
2004-07-01,100.5,43.8,393.7,15.83,100.63333333333333,4.61015772749913,7,2004,-0.29999999999999716,100.73333333333335,0.820568908339477
2004-08-01,100.6,42.12,412.4,15.98,100.46666666666665,4.611152257665639,8,2004,0.09999999999999432,100.79166666666667,0.7798115545477512
2004-09-01,100.3,49.64,420.4,16.29,100.3,4.60816569496789,9,2004,-0.29999999999999716,100.80833333333334,0.7656943768815345
2004-10-01,100.0,51.76,429.4,16.92,100.16666666666667,4.605170185988092,10,2004,-0.29999999999999716,100.82499999999999,0.7436091348649981
2004-11-01,100.2,49.13,453.2,17.42,100.26666666666665,4.607168188650764,11,2004,0.20000000000000284,100.79166666666667,0.7633161305459446
2004-12-01,100.6,43.45,438.4,17.84,100.63333333333333,4.611152257665639,12,2004,0.3999999999999915,100.77499999999999,0.7652985157322162
2005-01-01,101.1,48.2,424.1,18.46,101.39999999999999,4.616110126026426,1,2005,0.5,100.77499999999999,0.7652985157322162
2005-02-01,102.5,51.75,437.6,18.85,101.23333333333333,4.629862798578463,2,2005,1.4000000000000057,100.73333333333335,0.6358006167365137
2005-03-01,100.1,55.4,431.1,19.26,101.06666666666666,4.6061696863211745,3,2005,-2.4000000000000057,100.675,0.6607502622708552
2005-04-01,100.6,49.72,436.1,19.51,100.39999999999999,4.611152257665639,4,2005,0.5,100.68333333333332,0.658970730945253
2005-05-01,100.5,51.97,418.9,19.76,100.5,4.61015772749913,5,2005,-0.09999999999999432,100.64999999999999,0.6571287406728383
2005-06-01,100.4,56.5,437.1,19.74,100.43333333333334,4.609162207257629,6,2005,-0.09999999999999432,100.61666666666667,0.6589707309452406
2005-07-01,100.4,60.57,435.8,19.67,100.4,4.609162207257629,7,2005,0.0,100.60833333333335,0.6612087187091895
2005-08-01,100.4,68.94,438.1,19.59,100.53333333333335,4.609162207257629,8,2005,0.0,100.59166666666665,0.6639528095681257
2005-09-01,100.8,66.24,472.3,19.33,100.53333333333335,4.613138355637268,9,2005,0.3999999999999915,100.63333333333333,0.6596601512533542
2005-10-01,100.4,59.76,466.9,18.81,100.53333333333335,4.609162207257629,10,2005,-0.3999999999999915,100.66666666666667,0.6343691688790778
2005-11-01,100.4,57.32,498.7,18.09,100.53333333333335,4.609162207257629,11,2005,0.0,100.68333333333334,0.6235285709476123
2005-12-01,100.8,61.04,519.7,17.92,100.80000000000001,4.613138355637268,12,2005,0.3999999999999915,100.7,0.6237715199422024
2006-01-01,101.2,67.92,575.5,17.19,101.36666666666666,4.617098756853365,1,2006,0.4000000000000057,100.70833333333333,0.6302356461650426
2006-02-01,102.1,61.41,563.9,16.67,100.93333333333334,4.625952725170619,2,2006,0.8999999999999915,100.675,0.5293649711941303
2006-03-01,99.5,66.63,586.7,16.23,100.60000000000001,4.600157644164547,3,2006,-2.5999999999999943,100.625,0.6107000454025068
2006-04-01,100.2,71.88,654.5,15.66,100.09999999999998,4.607168188650764,4,2006,0.7000000000000028,100.59166666666668,0.6229815892995008
2006-05-01,100.6,71.29,649.0,15.27,100.39999999999999,4.611152257665639,5,2006,0.3999999999999915,100.60000000000001,0.6223124032773252
2006-06-01,100.4,73.93,616.0,15.0,100.46666666666665,4.609162207257629,6,2006,-0.19999999999998863,100.60000000000001,0.6223124032773252
2006-07-01,100.4,74.4,646.8,14.63,100.4,4.609162207257629,7,2006,0.0,100.59999999999998,0.6223124032773252
2006-08-01,100.4,70.26,634.2,14.14,100.36666666666667,4.609162207257629,8,2006,0.0,100.60000000000001,0.6223124032773252
