time,cpi_mom,cpi_yoy,oil_price,gold_price,interest_rate,cpi_mom_smoothed,cpi_yoy_smoothed,cpi_mom_log,cpi_yoy_log,cpi_yoy_diff,month,year,cpi_mom_diff,cpi_mom_rolling_mean,cpi_mom_rolling_std,cpi_yoy_rolling_mean,cpi_yoy_rolling_std
2013-11-01,100.34,105.78,92.72,1250.4,9.769,100.44666666666667,105.91333333333331,4.608564419056107,4.6613614656378335,-0.14000000000000057,11,2013,-0.14999999999999147,100.47083333333335,0.5223453809212332,106.66583333333334,0.5194132762217305
2013-12-01,100.51,106.04,98.42,1202.3,9.76,100.51333333333334,105.75666666666666,4.610257225036649,4.663816381420824,0.2600000000000051,12,2013,0.1700000000000017,100.49083333333334,0.5185374244990615,106.60166666666667,0.5468227788921982
2014-01-01,100.69,105.45,97.49,1239.8,10.271,100.58333333333333,105.38,4.612046489927524,4.658236906924784,-0.5900000000000034,1,2014,0.1799999999999926,100.44416666666667,0.4666019976837473,106.46666666666668,0.6162545715610719
2014-02-01,100.55,104.65,102.59,1321.6,10.591,100.26666666666667,104.82999999999998,4.610655116218661,4.650621448892009,-0.7999999999999972,2,2014,-0.14000000000000057,100.38,0.3801435135696847,106.26916666666666,0.7806460999284763
2014-03-01,99.56,104.39,101.58,1283.8,10.549,100.06333333333333,104.49666666666667,4.600760477499391,4.648133885420207,-0.2600000000000051,3,2014,-0.9899999999999949,100.35916666666667,0.41907817307934436,106.08166666666666,0.9378586182783537
2014-04-01,100.08,104.45,99.74,1295.9,10.8,99.94666666666667,104.51999999999998,4.605969866158656,4.648708488002574,0.060000000000002274,4,2014,0.519999999999996,100.36416666666666,0.4150018254797473,105.90166666666669,1.029994115899728
2014-05-01,100.2,104.72,102.71,1246.0,10.8,100.19333333333333,104.71666666666665,4.607168188650764,4.651290121601645,0.269999999999996,5,2014,0.12000000000000455,100.38583333333332,0.39725097021070876,105.765,1.071613057710068
2014-06-01,100.3,104.98,105.37,1322.0,10.8,100.24333333333334,104.88,4.60816569496789,4.653769855824153,0.2600000000000051,6,2014,0.09999999999999432,100.40666666666665,0.3843845927603498,105.6225,1.0509227547083577
2014-07-01,100.23,104.94,98.17,1282.8,10.81,100.25,104.74333333333333,4.607467545036775,4.653388758258566,-0.04000000000000625,7,2014,-0.06999999999999318,100.40333333333332,0.3858481409554946,105.42666666666666,0.923130379182621
2014-08-01,100.22,104.31,95.96,1287.4,10.809,100.28333333333335,104.28999999999998,4.607367769531579,4.64736723468788,-0.6299999999999955,8,2014,-0.010000000000005116,100.3525,0.3640960163073911,105.16083333333334,0.7054393644884239
2014-09-01,100.4,103.62,91.16,1211.6,10.825,100.24333333333334,103.71999999999998,4.609162207257629,4.640730361386642,-0.6899999999999977,9,2014,0.18000000000000682,100.29750000000001,0.2897687165497492,104.9375,0.7355903627823708
2014-10-01,100.11,103.23,80.54,1171.6,11.06,100.08,103.14999999999998,4.606269581431392,4.636959508477498,-0.39000000000000057,10,2014,-0.29000000000000625,100.26583333333333,0.28757475971338264,104.71333333333332,0.8145978743955818
2014-11-01,99.73,102.6,66.15,1175.5,11.06,99.86666666666667,102.55666666666666,4.602466534413777,4.630837932736669,-0.6300000000000097,11,2014,-0.37999999999999545,100.21499999999999,0.3247796455779885,104.44833333333332,0.9431555673601874
2014-12-01,99.76,101.84,53.27,1184.1,11.58,99.76333333333332,101.79333333333334,4.602767301371781,4.623402954249151,-0.7599999999999909,12,2014,0.030000000000001137,100.15249999999999,0.33485750022130867,104.09833333333334,1.0696204367849154
2015-01-01,99.8,100.94,48.24,1279.2,12.089,99.83666666666666,101.04,4.603168183317418,4.614526280912116,-0.9000000000000057,1,2015,0.03999999999999204,100.07833333333332,0.30192814718156663,103.72250000000001,1.315571946133926
